| Month | Taxable Balance | Gain (Taxable) | Tax Paid | Roth Balance | Gain (Roth) |
| ----- | --------------- | -------------- | -------- | ------------ | ----------- |
| 1     | \$101,400.00    | \$1,000.00     | \$100.00 | \$101,500.00 | \$1,000.00  |
| 2     | \$102,812.60    | \$1,014.00     | \$101.40 | \$103,015.00 | \$1,015.00  |
| 3     | \$104,237.91    | \$1,028.13     | \$102.81 | \$104,545.15 | \$1,030.15  |
| 4     | \$105,676.05    | \$1,042.38     | \$104.24 | \$106,090.60 | \$1,045.45  |
| 5     | \$107,127.14    | \$1,056.76     | \$105.68 | \$107,651.51 | \$1,060.91  |
| 6     | \$108,591.28    | \$1,071.27     | \$107.13 | \$109,228.02 | \$1,076.52  |
| 7     | \$110,068.60    | \$1,085.91     | \$108.59 | \$110,820.30 | \$1,092.28  |
| 8     | \$111,559.22    | \$1,100.69     | \$110.07 | \$112,428.51 | \$1,108.20  |
| 9     | \$113,063.26    | \$1,115.59     | \$111.56 | \$114,052.79 | \$1,124.29  |
| 10    | \$114,580.82    | \$1,130.63     | \$113.06 | \$115,693.32 | \$1,140.53  |
| 11    | \$116,112.05    | \$1,145.81     | \$114.58 | \$117,350.25 | \$1,156.93  |
| 12    | \$117,657.06    | \$1,161.12     | \$116.11 | \$119,023.75 | \$1,173.50  |
| 13    | \$119,215.97    | \$1,176.57     | \$117.66 | \$120,713.99 | \$1,190.24  |
| 14    | \$120,788.92    | \$1,192.16     | \$119.22 | \$122,421.13 | \$1,207.14  |
| 15    | \$122,376.02    | \$1,207.89     | \$120.79 | \$124,145.34 | \$1,224.21  |
| 16    | \$123,977.40    | \$1,223.76     | \$122.38 | \$125,886.80 | \$1,241.45  |
| 17    | \$125,593.20    | \$1,239.77     | \$123.98 | \$127,645.66 | \$1,258.87  |
| 18    | \$127,223.54    | \$1,255.93     | \$125.59 | \$129,422.12 | \$1,276.46  |
| 19    | \$128,868.55    | \$1,272.24     | \$127.22 | \$131,216.34 | \$1,294.22  |
| 20    | \$130,528.37    | \$1,288.69     | \$128.87 | \$133,028.51 | \$1,312.16  |
| 21    | \$132,203.12    | \$1,305.28     | \$130.53 | \$134,858.79 | \$1,330.29  |
| 22    | \$133,892.95    | \$1,322.03     | \$132.20 | \$136,707.38 | \$1,348.59  |
| 23    | \$135,597.99    | \$1,338.93     | \$133.89 | \$138,574.45 | \$1,367.07  |
| 24    | \$137,318.37    | \$1,355.98     | \$135.60 | \$140,460.20 | \$1,385.74  |
| 25    | \$139,054.23    | \$1,373.18     | \$137.32 | \$142,364.80 | \$1,404.60  |
| 26    | \$140,805.72    | \$1,390.54     | \$139.05 | \$144,288.45 | \$1,423.65  |
| 27    | \$142,572.97    | \$1,408.06     | \$140.81 | \$146,231.33 | \$1,442.88  |
| 28    | \$144,356.13    | \$1,425.73     | \$142.57 | \$148,193.65 | \$1,462.31  |
| 29    | \$146,155.34    | \$1,443.56     | \$144.36 | \$150,175.58 | \$1,481.94  |
| 30    | \$147,970.73    | \$1,461.55     | \$146.16 | \$152,177.34 | \$1,501.76  |
| 31    | \$149,802.47    | \$1,479.71     | \$147.97 | \$154,199.11 | \$1,521.77  |
| 32    | \$151,650.69    | \$1,498.02     | \$149.80 | \$156,241.10 | \$1,541.99  |
| 33    | \$153,515.55    | \$1,516.51     | \$151.65 | \$158,303.51 | \$1,562.41  |
| 34    | \$155,397.19    | \$1,535.16     | \$153.52 | \$160,386.55 | \$1,583.04  |
| 35    | \$157,295.76    | \$1,553.97     | \$155.40 | \$162,490.41 | \$1,603.87  |
| 36    | \$159,211.42    | \$1,572.96     | \$157.30 | \$164,615.32 | \$1,624.90  |
