Trad vs Roth IRA,,,,,,,,TRAD IRA ONLY,,,Rate of Ret,,,,,,ROTH IRA ONLY,,,,,,,,,,,OPTIMAL SWITCH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Beg of year,,5.00%,,,,,,,,,Beg of year,,,,,,,,Trad,,,,,,,,,,Roth,,,,,,,,,,,Combined,,,
Year,Period,"Age
EOY","Marginal
Tax Bracket",Taxable income,,"Available
to Contribute",,"Beginning
Balance","Trad IRA
Contribution","Taxes
avoided","Growth on 
BB and Contr.","Gross
withdrawal","Taxes on
withdrawal","Net
Withdrawal","Ending
Balance",,"Beginning
Balance","Gross Roth
Contribution","OI Tax on
Contribution","Net
Contribution","Taxes
avoided",Growth,"Gross
withdrawal","Taxes on
withdrawal","Net
Withdrawal","Ending
Balance",,"Beginning
Balance","Gross
Contribution","Trad IRA
Contribution","Taxes
avoided","Growth on 
BB and Contr.","Gross
withdrawal","Taxes on
withdrawal","Net
Withdrawal","Ending
Balance",,"Beginning
Balance","Gross Roth
Contribution","OI Tax on
Contribution","Net
Contribution","Taxes
avoided","Growth on 
BB and Contr.","Gross
withdrawal","Taxes on
withdrawal","Net
Withdrawal","Ending
Balance",,Beg Bal,"Gross
Withdrawal","Net
Withdrawal","Ending
Balance"
2026,1,1,22%,"$50,000",,$500,,$0,$500,$110,$25,$0,$0,$0,$525,,$0,$500,$110,$390,$86,$20,$0,$0,$0,$410,,$0,"$1,000",$0,$0,$0,$0,$0,$0,$0,,$0,"$1,000",$220,$780,$172,$39,$0,$0,$0,$819,,$819,$0,$0,$819
2027,2,2,22%,"$50,000",,$500,,$525,$500,$110,$51,$0,$0,$0,"$1,076",,$410,$500,$110,$390,$86,$40,$0,$0,$0,$839,,$0,"$2,000","$1,000",$220,$50,$0,$0,$0,"$1,050",,$819,"$1,000",$220,$780,$172,$80,$0,$0,$0,"$1,679",,"$1,679",$0,$0,"$2,729"
2028,3,3,22%,"$50,000",,$500,,"$1,076",$500,$110,$79,$0,$0,$0,"$1,655",,$839,$500,$110,$390,$86,$61,$0,$0,$0,"$1,291",,"$1,050",$0,"$1,000",$220,$103,$0,$0,$0,"$2,153",,"$1,679","-$1,000",-$220,-$780,$172,$45,$0,$0,$0,$944,,"$1,994",$0,$0,"$3,096"
2029,4,4,22%,"$50,000",,$500,,"$1,655",$500,$110,$108,$0,$0,$0,"$2,263",,"$1,291",$500,$110,$390,$86,$84,$0,$0,$0,"$1,765",,"$2,153",$0,"$1,000",$220,$158,$0,$0,$0,"$3,310",,$944,"-$1,000",-$220,-$780,$172,$8,$0,$0,$0,$172,,"$2,325",$0,$0,"$3,482"
2030,5,5,22%,"$50,000",,$500,,"$2,263",$500,$110,$138,$0,$0,$0,"$2,901",,"$1,765",$500,$110,$390,$86,$108,$0,$0,$0,"$2,263",,"$3,310",$0,"$1,000",$220,$216,$0,$0,$0,"$4,526",,$172,"-$1,000",-$220,-$780,$172,-$30,$0,$0,$0,-$638,,"$2,672",$0,$0,"$3,887"
2031,6,6,22%,"$50,000",,$500,,"$2,901",$500,$110,$170,$0,$0,$0,"$3,571",,"$2,263",$500,$110,$390,$86,$133,$0,$0,$0,"$2,785",,"$4,526",$0,"$1,000",$220,$276,$0,$0,$0,"$5,802",,-$638,"-$1,000",-$220,-$780,$172,-$71,$0,$0,$0,"-$1,489",,"$3,036",$0,$0,"$4,313"
2032,7,7,22%,"$50,000",,$500,,"$3,571",$500,$110,$204,$0,$0,$0,"$4,275",,"$2,785",$500,$110,$390,$86,$159,$0,$0,$0,"$3,334",,"$5,802",$0,"$1,000",$220,$340,$0,$0,$0,"$7,142",,"-$1,489","-$1,000",-$220,-$780,$172,-$113,$0,$0,$0,"-$2,383",,"$3,419",$0,$0,"$4,759"
2033,8,8,22%,"$50,000",,$500,,"$4,275",$500,$110,$239,$0,$0,$0,"$5,013",,"$3,334",$500,$110,$390,$86,$186,$0,$0,$0,"$3,910",,"$7,142",$0,"$1,000",$220,$407,$0,$0,$0,"$8,549",,"-$2,383","-$1,000",-$220,-$780,$172,-$158,$0,$0,$0,"-$3,321",,"$3,821",$0,$0,"$5,228"
2034,9,9,22%,"$50,000",,$500,,"$5,013",$500,$110,$276,$0,$0,$0,"$5,789",,"$3,910",$500,$110,$390,$86,$215,$0,$0,$0,"$4,515",,"$8,549",$0,"$1,000",$220,$477,$0,$0,$0,"$10,027",,"-$3,321","-$1,000",-$220,-$780,$172,-$205,$0,$0,$0,"-$4,306",,"$4,243",$0,$0,"$5,721"
2035,10,10,22%,"$50,000",,$500,,"$5,789",$500,$110,$314,$0,$0,$0,"$6,603",,"$4,515",$500,$110,$390,$86,$245,$0,$0,$0,"$5,151",,"$10,027",$0,"$1,000",$220,$551,$0,$0,$0,"$11,578",,"-$4,306","-$1,000",-$220,-$780,$172,-$254,$0,$0,$0,"-$5,340",,"$4,686",$0,$0,"$6,238"
2036,11,11,22%,"$50,000",,$500,,"$6,603",$500,$110,$355,$0,$0,$0,"$7,459",,"$5,151",$500,$110,$390,$86,$277,$0,$0,$0,"$5,818",,"$11,578",$0,"$1,000",$220,$629,$0,$0,$0,"$13,207",,"-$5,340","-$1,000",-$220,-$780,$172,-$306,$0,$0,$0,"-$6,426",,"$5,152",$0,$0,"$6,781"
2037,12,12,22%,"$50,000",,$500,,"$7,459",$500,$110,$398,$0,$0,$0,"$8,356",,"$5,818",$500,$110,$390,$86,$310,$0,$0,$0,"$6,518",,"$13,207",$0,"$1,000",$220,$710,$0,$0,$0,"$14,917",,"-$6,426","-$1,000",-$220,-$780,$172,-$360,$0,$0,$0,"-$7,566",,"$5,640",$0,$0,"$7,351"
2038,13,13,22%,"$50,000",,$500,,"$8,356",$500,$110,$443,$0,$0,$0,"$9,299",,"$6,518",$500,$110,$390,$86,$345,$0,$0,$0,"$7,253",,"$14,917",$0,"$1,000",$220,$796,$0,$0,$0,"$16,713",,"-$7,566","-$1,000",-$220,-$780,$172,-$417,$0,$0,$0,"-$8,764",,"$6,153",$0,$0,"$7,949"
2039,14,14,22%,"$50,000",,$500,,"$9,299",$500,$110,$490,$0,$0,$0,"$10,289",,"$7,253",$500,$110,$390,$86,$382,$0,$0,$0,"$8,026",,"$16,713",$0,"$1,000",$220,$886,$0,$0,$0,"$18,599",,"-$8,764","-$1,000",-$220,-$780,$172,-$477,$0,$0,$0,"-$10,021",,"$6,692",$0,$0,"$8,578"
2040,15,15,22%,"$50,000",,$500,,"$10,289",$500,$110,$539,$0,$0,$0,"$11,329",,"$8,026",$500,$110,$390,$86,$421,$0,$0,$0,"$8,836",,"$18,599",$0,"$1,000",$220,$980,$0,$0,$0,"$20,579",,"-$10,021","-$1,000",-$220,-$780,$172,-$540,$0,$0,$0,"-$11,341",,"$7,258",$0,$0,"$9,238"
2041,16,16,22%,"$50,000",,$500,,"$11,329",$500,$110,$591,$0,$0,$0,"$12,420",,"$8,836",$500,$110,$390,$86,$461,$0,$0,$0,"$9,688",,"$20,579",$0,"$1,000",$220,"$1,079",$0,$0,$0,"$22,657",,"-$11,341","-$1,000",-$220,-$780,$172,-$606,$0,$0,$0,"-$12,727",,"$7,851",$0,$0,"$9,930"
2042,17,17,22%,"$50,000",,$500,,"$12,420",$500,$110,$646,$0,$0,$0,"$13,566",,"$9,688",$500,$110,$390,$86,$504,$0,$0,$0,"$10,582",,"$22,657",$0,"$1,000",$220,"$1,183",$0,$0,$0,"$24,840",,"-$12,727","-$1,000",-$220,-$780,$172,-$675,$0,$0,$0,"-$14,182",,"$8,475",$0,$0,"$10,658"
2043,18,18,22%,"$50,000",,$500,,"$13,566",$500,$110,$703,$0,$0,$0,"$14,770",,"$10,582",$500,$110,$390,$86,$549,$0,$0,$0,"$11,520",,"$24,840","$5,000","$1,000",$220,"$1,292",$0,$0,$0,"$27,132",,"-$14,182","$4,000",$880,"$3,120",$172,-$553,$0,$0,$0,"-$11,616",,"$13,225",$0,$0,"$15,517"
2044,19,19,22%,"$50,000",,"$5,000",,"$14,770","$5,000","$1,100",$988,$0,$0,$0,"$20,758",,"$11,520","$5,000","$1,100","$3,900",$86,$771,$0,$0,$0,"$16,191",,"$27,132","$5,000","$1,000",$220,"$1,407",$0,$0,$0,"$29,539",,"-$11,616","$4,000",$880,"$3,120",$172,-$425,$0,$0,$0,"-$8,920",,"$18,212",$0,$0,"$20,619"
2045,20,20,22%,"$50,000",,"$5,000",,"$20,758","$5,000","$1,100","$1,288",$0,$0,$0,"$27,046",,"$16,191","$5,000","$1,100","$3,900",$86,"$1,005",$0,$0,$0,"$21,096",,"$29,539","$5,000","$1,000",$220,"$1,527",$0,$0,$0,"$32,066",,"-$8,920","$4,000",$880,"$3,120",$172,-$290,$0,$0,$0,"-$6,090",,"$23,449",$0,$0,"$25,976"
2046,21,21,22%,"$50,000",,"$5,000",,"$27,046","$5,000","$1,100","$1,602",$0,$0,$0,"$33,648",,"$21,096","$5,000","$1,100","$3,900",$86,"$1,250",$0,$0,$0,"$26,246",,"$32,066","$5,000","$1,000",$220,"$1,653",$0,$0,$0,"$34,719",,"-$6,090","$4,000",$880,"$3,120",$172,-$149,$0,$0,$0,"-$3,119",,"$28,947",$0,$0,"$31,600"
2047,22,22,22%,"$50,000",,"$5,000",,"$33,648","$5,000","$1,100","$1,932",$0,$0,$0,"$40,581",,"$26,246","$5,000","$1,100","$3,900",$86,"$1,507",$0,$0,$0,"$31,653",,"$34,719","$7,000","$1,000",$220,"$1,786",$0,$0,$0,"$37,505",,"-$3,119","$6,000","$1,320","$4,680",$172,$78,$0,$0,$0,"$1,639",,"$36,358",$0,$0,"$39,144"
2048,23,23,22%,"$48,000",,"$7,000",,"$40,581","$7,000","$1,540","$2,379",$0,$0,$0,"$49,960",,"$31,653","$7,000","$1,540","$5,460",$86,"$1,856",$0,$0,$0,"$38,968",,"$37,505","$7,000","$1,000",$220,"$1,925",$0,$0,$0,"$40,430",,"$1,639","$6,000","$1,320","$4,680",$172,$316,$0,$0,$0,"$6,635",,"$44,140",$0,$0,"$47,066"
2049,24,24,22%,"$48,000",,"$7,000",,"$49,960","$7,000","$1,540","$2,848",$0,$0,$0,"$59,808",,"$38,968","$7,000","$1,540","$5,460",$86,"$2,221",$0,$0,$0,"$46,650",,"$40,430","$7,000","$1,000",$220,"$2,072",$0,$0,$0,"$43,502",,"$6,635","$6,000","$1,320","$4,680",$172,$566,$0,$0,$0,"$11,881",,"$52,311",$0,$0,"$55,383"
2050,25,25,22%,"$48,000",,"$7,000",,"$59,808","$7,000","$1,540","$3,340",$0,$0,$0,"$70,148",,"$46,650","$7,000","$1,540","$5,460",$86,"$2,605",$0,$0,$0,"$54,715",,"$43,502","$7,000","$1,000",$220,"$2,225",$0,$0,$0,"$46,727",,"$11,881","$6,000","$1,320","$4,680",$172,$828,$0,$0,$0,"$17,389",,"$60,891",$0,$0,"$64,116"
2051,26,26,22%,"$48,000",,"$7,000",,"$70,148","$7,000","$1,540","$3,857",$0,$0,$0,"$81,005",,"$54,715","$7,000","$1,540","$5,460",$86,"$3,009",$0,$0,$0,"$63,184",,"$46,727","$7,000","$1,000",$220,"$2,386",$0,$0,$0,"$50,113",,"$17,389","$6,000","$1,320","$4,680",$172,"$1,103",$0,$0,$0,"$23,172",,"$69,900",$0,$0,"$73,286"
2052,27,27,22%,"$48,000",,"$7,000",,"$81,005","$7,000","$1,540","$4,400",$0,$0,$0,"$92,406",,"$63,184","$7,000","$1,540","$5,460",$86,"$3,432",$0,$0,$0,"$72,076",,"$50,113","$7,000","$1,000",$220,"$2,556",$0,$0,$0,"$53,669",,"$23,172","$6,000","$1,320","$4,680",$172,"$1,393",$0,$0,$0,"$29,245",,"$79,358",$0,$0,"$82,914"
2053,28,28,22%,"$48,000",,"$7,000",,"$92,406","$7,000","$1,540","$4,970",$0,$0,$0,"$104,376",,"$72,076","$7,000","$1,540","$5,460",$86,"$3,877",$0,$0,$0,"$81,413",,"$53,669","$7,000","$1,000",$220,"$2,733",$0,$0,$0,"$57,403",,"$29,245","$6,000","$1,320","$4,680",$172,"$1,696",$0,$0,$0,"$35,621",,"$89,290",$0,$0,"$93,024"
2054,29,29,22%,"$48,000",,"$7,000",,"$104,376","$7,000","$1,540","$5,569",$0,$0,$0,"$116,945",,"$81,413","$7,000","$1,540","$5,460",$86,"$4,344",$0,$0,$0,"$91,217",,"$57,403","$7,000","$1,000",$220,"$2,920",$0,$0,$0,"$61,323",,"$35,621","$6,000","$1,320","$4,680",$172,"$2,015",$0,$0,$0,"$42,316",,"$99,719",$0,$0,"$103,639"
2055,30,30,22%,"$48,000",,"$7,000",,"$116,945","$7,000","$1,540","$6,197",$0,$0,$0,"$130,142",,"$91,217","$7,000","$1,540","$5,460",$86,"$4,834",$0,$0,$0,"$101,511",,"$61,323","$7,000","$1,000",$220,"$3,116",$0,$0,$0,"$65,439",,"$42,316","$6,000","$1,320","$4,680",$172,"$2,350",$0,$0,$0,"$49,346",,"$110,669",$0,$0,"$114,785"
2056,31,31,22%,"$100,000",,"$7,000",,"$130,142","$7,000","$1,540","$6,857",$0,$0,$0,"$143,999",,"$101,511","$7,000","$1,540","$5,460",$86,"$5,349",$0,$0,$0,"$112,319",,"$65,439","$7,000","$1,000",$220,"$3,322",$0,$0,$0,"$69,761",,"$49,346","$6,000","$1,320","$4,680",$172,"$2,701",$0,$0,$0,"$56,727",,"$122,166",$0,$0,"$126,488"
2057,32,32,22%,"$100,000",,"$7,000",,"$143,999","$7,000","$1,540","$7,550",$0,$0,$0,"$158,549",,"$112,319","$7,000","$1,540","$5,460",$86,"$5,889",$0,$0,$0,"$123,668",,"$69,761","$7,000","$1,000",$220,"$3,538",$0,$0,$0,"$74,299",,"$56,727","$6,000","$1,320","$4,680",$172,"$3,070",$0,$0,$0,"$64,478",,"$134,239",$0,$0,"$138,777"
2058,33,33,22%,"$100,000",,"$7,000",,"$158,549","$7,000","$1,540","$8,277",$0,$0,$0,"$173,826",,"$123,668","$7,000","$1,540","$5,460",$86,"$6,456",$0,$0,$0,"$135,585",,"$74,299","$7,000","$1,000",$220,"$3,765",$0,$0,$0,"$79,064",,"$64,478","$6,000","$1,320","$4,680",$172,"$3,458",$0,$0,$0,"$72,616",,"$146,915",$0,$0,"$151,680"
2059,34,34,22%,"$100,000",,"$7,000",,"$173,826","$7,000","$1,540","$9,041",$0,$0,$0,"$189,868",,"$135,585","$7,000","$1,540","$5,460",$86,"$7,052",$0,$0,$0,"$148,097",,"$79,064","$7,000","$1,000",$220,"$4,003",$0,$0,$0,"$84,067",,"$72,616","$6,000","$1,320","$4,680",$172,"$3,865",$0,$0,$0,"$81,161",,"$160,224",$0,$0,"$165,227"
2060,35,35,22%,"$100,000",,"$7,000",,"$189,868","$7,000","$1,540","$9,843",$0,$0,$0,"$206,711",,"$148,097","$7,000","$1,540","$5,460",$86,"$7,678",$0,$0,$0,"$161,235",,"$84,067","$7,000","$1,000",$220,"$4,253",$0,$0,$0,"$89,320",,"$81,161","$6,000","$1,320","$4,680",$172,"$4,292",$0,$0,$0,"$90,133",,"$174,200",$0,$0,"$179,453"
2061,36,36,22%,"$100,000",,"$7,000",,"$206,711","$7,000","$1,540","$10,686",$0,$0,$0,"$224,397",,"$161,235","$7,000","$1,540","$5,460",$86,"$8,335",$0,$0,$0,"$175,029",,"$89,320","$7,000","$1,000",$220,"$4,516",$0,$0,$0,"$94,836",,"$90,133","$6,000","$1,320","$4,680",$172,"$4,741",$0,$0,$0,"$99,553",,"$188,873",$0,$0,"$194,389"
2062,37,37,22%,"$100,000",,"$7,000",,"$224,397","$7,000","$1,540","$11,570",$0,$0,$0,"$242,967",,"$175,029","$7,000","$1,540","$5,460",$86,"$9,024",$0,$0,$0,"$189,514",,"$94,836","$7,000","$1,000",$220,"$4,792",$0,$0,$0,"$100,628",,"$99,553","$6,000","$1,320","$4,680",$172,"$5,212",$0,$0,$0,"$109,445",,"$204,281",$0,$0,"$210,073"
2063,38,38,22%,"$100,000",,"$7,000",,"$242,967","$7,000","$1,540","$12,498",$0,$0,$0,"$262,465",,"$189,514","$7,000","$1,540","$5,460",$86,"$9,749",$0,$0,$0,"$204,723",,"$100,628","$7,000","$1,000",$220,"$5,081",$0,$0,$0,"$106,710",,"$109,445","$6,000","$1,320","$4,680",$172,"$5,706",$0,$0,$0,"$119,831",,"$220,459",$0,$0,"$226,541"
2064,39,39,22%,"$100,000",,"$7,000",,"$262,465","$7,000","$1,540","$13,473",$0,$0,$0,"$282,938",,"$204,723","$7,000","$1,540","$5,460",$86,"$10,509",$0,$0,$0,"$220,692",,"$106,710","$7,000","$1,000",$220,"$5,385",$0,$0,$0,"$113,095",,"$119,831","$6,000","$1,320","$4,680",$172,"$6,226",$0,$0,$0,"$130,737",,"$237,446",$0,$0,"$243,832"
2065,40,40,22%,"$100,000",,"$7,000",,"$282,938","$7,000","$1,540","$14,497",$0,$0,$0,"$304,435",,"$220,692","$7,000","$1,540","$5,460",$86,"$11,308",$0,$0,$0,"$237,459",,"$113,095","$7,000","$1,000",$220,"$5,705",$0,$0,$0,"$119,800",,"$130,737","$6,000","$1,320","$4,680",$172,"$6,771",$0,$0,$0,"$142,187",,"$255,282",$0,$0,"$261,987"
2066,41,41,24%,"$190,000",,"$7,000",,"$304,435","$7,000","$1,540","$15,572",$0,$0,$0,"$327,007",,"$237,459","$7,000","$1,680","$5,320",$86,"$12,139",$0,$0,$0,"$254,918",,"$119,800","$7,000","$7,000","$1,540","$6,340",$0,$0,$0,"$133,140",,"$142,187",$0,$0,$0,$172,"$7,109",$0,$0,$0,"$149,297",,"$269,097",$0,$0,"$282,437"
2067,42,42,24%,"$190,000",,"$7,000",,"$327,007","$7,000","$1,540","$16,700",$0,$0,$0,"$350,707",,"$254,918","$7,000","$1,680","$5,320",$86,"$13,012",$0,$0,$0,"$273,250",,"$133,140","$7,000","$7,000","$1,540","$7,007",$0,$0,$0,"$147,147",,"$149,297",$0,$0,$0,$172,"$7,465",$0,$0,$0,"$156,762",,"$289,901",$0,$0,"$303,908"
2068,43,43,24%,"$190,000",,"$7,000",,"$350,707","$7,000","$1,540","$17,885",$0,$0,$0,"$375,592",,"$273,250","$7,000","$1,680","$5,320",$86,"$13,929",$0,$0,$0,"$292,499",,"$147,147","$7,000","$7,000","$1,540","$7,707",$0,$0,$0,"$161,854",,"$156,762",$0,$0,$0,$172,"$7,838",$0,$0,$0,"$164,600",,"$311,747",$0,$0,"$326,454"
2069,44,44,24%,"$190,000",,"$7,000",,"$375,592","$7,000","$1,540","$19,130",$0,$0,$0,"$401,722",,"$292,499","$7,000","$1,680","$5,320",$86,"$14,891",$0,$0,$0,"$312,710",,"$161,854","$7,000","$7,000","$1,540","$8,443",$0,$0,$0,"$177,297",,"$164,600",$0,$0,$0,$172,"$8,230",$0,$0,$0,"$172,830",,"$334,684",$0,$0,"$350,127"
2070,45,45,24%,"$190,000",,"$7,000",,"$401,722","$7,000","$1,540","$20,436",$0,$0,$0,"$429,158",,"$312,710","$7,000","$1,680","$5,320",$86,"$15,901",$0,$0,$0,"$333,931",,"$177,297","$7,000","$7,000","$1,540","$9,215",$0,$0,$0,"$193,512",,"$172,830",$0,$0,$0,$172,"$8,641",$0,$0,$0,"$181,471",,"$358,768",$0,$0,"$374,983"
2071,46,46,24%,"$190,000",,"$7,000",,"$429,158","$7,000","$1,540","$21,808",$0,$0,$0,"$457,966",,"$333,931","$7,000","$1,680","$5,320",$86,"$16,963",$0,$0,$0,"$356,214",,"$193,512","$7,000","$7,000","$1,540","$10,026",$0,$0,$0,"$210,537",,"$181,471",$0,$0,$0,$172,"$9,074",$0,$0,$0,"$190,545",,"$384,056",$0,$0,"$401,082"
2072,47,47,24%,"$190,000",,"$7,000",,"$457,966","$7,000","$1,540","$23,248",$0,$0,$0,"$488,214",,"$356,214","$7,000","$1,680","$5,320",$86,"$18,077",$0,$0,$0,"$379,610",,"$210,537","$7,000","$7,000","$1,540","$10,877",$0,$0,$0,"$228,414",,"$190,545",$0,$0,$0,$172,"$9,527",$0,$0,$0,"$200,072",,"$410,609",$0,$0,"$428,486"
